Test,State,Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other
CSP,Wyoming,2017,13,12,92.31,0,0,0,0,0,0,0,0,1,0,0,7.69,10,9,90,76.92,0,0,0,0,0,0,0,0,1,0,0,7.69,0,0,0,0,4,0,0,30.77,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,88.89,69.23,0,0,0,0,0,0,0,0,1,0,0,7.69,7,6,85.71,53.85,0,0,0,0,0,0,0,0,1,0,0,7.69,0,0,0,0
CSP,Wyoming,2018,27,24,88.89,1,0,0,3.7,2,0,0,7.41,1,0,0,3.7,22,20,90.91,81.48,0,0,0,0,0,0,0,0,1,0,0,3.7,0,0,0,0,9,8,88.89,33.33,0,0,0,0,0,0,0,0,0,0,0,0,9,8,88.89,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,88.89,66.67,1,0,0,3.7,2,0,0,7.41,1,0,0,3.7,13,12,92.31,48.15,0,0,0,0,0,0,0,0,1,0,0,3.7,0,0,0,0
CSP,Wyoming,2019,75,56,74.67,0,0,0,0,2,0,0,2.67,2,0,0,2.67,56,44,78.57,74.67,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,25,20,80,33.33,0,0,0,0,1,0,0,1.33,0,0,0,0,21,17,80.95,28,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,50,36,72,66.67,0,0,0,0,1,0,0,1.33,2,0,0,2.67,35,27,77.14,46.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSP,Wisconsin,2017,464,420,90.52,2,0,0,0.43,21,18,85.71,4.53,39,35,89.74,8.41,381,347,91.08,82.11,0,0,0,0,1,0,0,0.22,12,11,91.67,2.59,0,0,0,0,93,87,93.55,20.04,1,0,0,0.22,5,5,100,1.08,12,12,100,2.59,68,63,92.65,14.66,0,0,0,0,0,0,0,0,4,0,0,0.86,0,0,0,0,371,333,89.76,79.96,1,0,0,0.22,16,13,81.25,3.45,27,23,85.19,5.82,313,284,90.73,67.46,0,0,0,0,1,0,0,0.22,8,7,87.5,1.72,0,0,0,0
CSP,Wisconsin,2018,798,701,87.84,14,7,50,1.75,37,27,72.97,4.64,71,60,84.51,8.9,623,561,90.05,78.07,1,0,0,0.13,1,0,0,0.13,37,32,86.49,4.64,0,0,0,0,154,138,89.61,19.3,1,0,0,0.13,7,5,71.43,0.88,21,18,85.71,2.63,120,110,91.67,15.04,0,0,0,0,0,0,0,0,4,0,0,0.5,0,0,0,0,644,563,87.42,80.7,13,7,53.85,1.63,30,22,73.33,3.76,50,42,84,6.27,503,451,89.66,63.03,1,0,0,0.13,1,0,0,0.13,33,28,84.85,4.14,0,0,0,0
CSP,Wisconsin,2019,1066,872,81.8,23,14,60.87,2.16,90,55,61.11,8.44,101,82,81.19,9.47,781,663,84.89,73.26,1,0,0,0.09,1,0,0,0.09,42,37,88.1,3.94,0,0,0,0,246,200,81.3,23.08,8,6,75,0.75,16,8,50,1.5,32,27,84.38,3,164,138,84.15,15.38,1,0,0,0.09,0,0,0,0,17,16,94.12,1.59,0,0,0,0,820,672,81.95,76.92,15,8,53.33,1.41,74,47,63.51,6.94,69,55,79.71,6.47,617,525,85.09,57.88,0,0,0,0,1,0,0,0.09,25,21,84,2.35,0,0,0,0
CSP,West Virginia,2017,118,91,77.12,2,0,0,1.69,5,3,60,4.24,13,11,84.62,11.02,93,70,75.27,78.81,0,0,0,0,0,0,0,0,5,5,100,4.24,0,0,0,0,45,32,71.11,38.14,1,0,0,0.85,2,0,0,1.69,10,8,80,8.47,30,21,70,25.42,0,0,0,0,0,0,0,0,2,0,0,1.69,0,0,0,0,73,59,80.82,61.86,1,0,0,0.85,3,0,0,2.54,3,0,0,2.54,63,49,77.78,53.39,0,0,0,0,0,0,0,0,3,0,0,2.54,0,0,0,0
CSP,West Virginia,2018,154,106,68.83,1,0,0,0.65,2,0,0,1.3,14,13,92.86,9.09,123,83,67.48,79.87,0,0,0,0,0,0,0,0,9,8,88.89,5.84,0,0,0,0,51,36,70.59,33.12,1,0,0,0.65,1,0,0,0.65,6,6,100,3.9,40,29,72.5,25.97,0,0,0,0,0,0,0,0,1,0,0,0.65,0,0,0,0,103,70,67.96,66.88,0,0,0,0,1,0,0,0.65,8,7,87.5,5.19,83,54,65.06,53.9,0,0,0,0,0,0,0,0,8,7,87.5,5.19,0,0,0,0
CSP,West Virginia,2019,243,157,64.61,5,4,80,2.06,6,3,50,2.47,20,18,90,8.23,198,121,61.11,81.48,0,0,0,0,1,0,0,0.41,13,10,76.92,5.35,0,0,0,0,88,57,64.77,36.21,4,0,0,1.65,4,0,0,1.65,10,9,90,4.12,63,36,57.14,25.93,0,0,0,0,0,0,0,0,7,6,85.71,2.88,0,0,0,0,155,100,64.52,63.79,1,0,0,0.41,2,0,0,0.82,10,9,90,4.12,135,85,62.96,55.56,0,0,0,0,1,0,0,0.41,6,4,66.67,2.47,0,0,0,0
CSP,Washington,2017,737,563,76.39,22,11,50,2.99,80,45,56.25,10.85,182,151,82.97,24.69,376,297,78.99,51.02,5,2,40,0.68,2,0,0,0.27,61,50,81.97,8.28,0,0,0,0,195,147,75.38,26.46,10,3,30,1.36,19,10,52.63,2.58,68,61,89.71,9.23,78,60,76.92,10.58,0,0,0,0,0,0,0,0,19,12,63.16,2.58,0,0,0,0,542,416,76.75,73.54,12,8,66.67,1.63,61,35,57.38,8.28,114,90,78.95,15.47,298,237,79.53,40.43,5,2,40,0.68,2,0,0,0.27,42,38,90.48,5.7,0,0,0,0
